date,vix,BI,close,pos,neg,seg
2020-10-26,22.49,-0.3313571359544425,4438.39,29.0,35.0,"張祖媽,張議員,獲得幣"
2020-10-27,23.27,-0.06252035698133393,4465.91,30.0,30.0,"美國,中國,.%"
2020-10-28,23.43,0.1872115420881464,4363.72,34.0,38.0,".%,市場,u3000"
2020-10-29,24.94,0.07796154146971193,4370.28,36.0,39.0,"一路,南買,張一顆"
2020-10-30,27.35,0.0,4318.53,30.0,38.0,"成長,台灣,億元"
2020-10-31,,0.0,,16.0,17.0,".%,美國,小米"
2020-11-01,,0.5306282510621704,,9.0,16.0,"特斯拉,中國,u3000"
2020-11-02,27.32,0.2468600779315258,4322.22,28.0,25.0,"張買,獲得幣,恭喜"
2020-11-03,26.11,0.1872115420881464,4321.65,37.0,36.0,"u3000,美國,聯電"
2020-11-04,23.77,0.0444517625708338,4353.43,21.0,21.0,"螞蟻,u3000,中國"
2020-11-05,21.76,0.4700036292457356,4388.06,33.0,29.0,"瘋子贏,失智贏,獲得幣"
